RPT_DATE,RPT_YR,GEOGRAPHY,SVC_DESC,AMOUNT,AMOUNT_ANNOT,AMOUNT_TYPE
6/30/2020,FY1920,Contra Costa,MENTAL_HEALTH_SVCS,4059001,,DOLLARS
6/30/2020,FY1920,Contra Costa,THERAPEUTIC_BEHAVIORAL_SVCS,64,,MEMBERS
6/30/2020,FY1920,Contra Costa,THERAPEUTIC_BEHAVIORAL_SVCS,327584,,MINUTES
6/30/2020,FY1920,Contra Costa,THERAPEUTIC_BEHAVIORAL_SVCS,1057179,,DOLLARS
6/30/2020,FY1920,Del Norte,ALL,11,,MEMBERS
6/30/2020,FY1920,Del Norte,ALL,125270,,DOLLARS
6/30/2020,FY1920,Del Norte,CASE_MANAGEMENT/BROKERAGE,,1,MEMBERS
6/30/2020,FY1920,Del Norte,CASE_MANAGEMENT/BROKERAGE,,1,DOLLARS
6/30/2020,FY1920,Del Norte,CASE_MANAGEMENT/BROKERAGE,,1,MINUTES
6/30/2020,FY1920,Del Norte,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,Del Norte,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Del Norte,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Del Norte,ICC,,1,MEMBERS
6/30/2020,FY1920,Del Norte,ICC,,1,DOLLARS
6/30/2020,FY1920,Del Norte,ICC,,1,MINUTES
6/30/2020,FY1920,Del Norte,IHBS,,1,MEMBERS
6/30/2020,FY1920,Del Norte,IHBS,,1,DOLLARS
6/30/2020,FY1920,Del Norte,IHBS,,1,MINUTES
6/30/2020,FY1920,Del Norte,MEDICATION_SUPPORT_SVCS,,1,MEMBERS
6/30/2020,FY1920,Del Norte,MEDICATION_SUPPORT_SVCS,,1,DOLLARS
6/30/2020,FY1920,Del Norte,MEDICATION_SUPPORT_SVCS,,1,MINUTES
6/30/2020,FY1920,Del Norte,MENTAL_HEALTH_SVCS,,1,MEMBERS
6/30/2020,FY1920,Del Norte,MENTAL_HEALTH_SVCS,,1,DOLLARS
6/30/2020,FY1920,Del Norte,MENTAL_HEALTH_SVCS,,1,MINUTES
6/30/2020,FY1920,El Dorado,ALL,163,,MEMBERS
6/30/2020,FY1920,El Dorado,ALL,736469,,DOLLARS
6/30/2020,FY1920,El Dorado,CASE_MANAGEMENT/BROKERAGE,28,,MEMBERS
6/30/2020,FY1920,El Dorado,CASE_MANAGEMENT/BROKERAGE,8145,,MINUTES
6/30/2020,FY1920,El Dorado,CASE_MANAGEMENT/BROKERAGE,19489,,DOLLARS
6/30/2020,FY1920,El Dorado,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,El Dorado,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,El Dorado,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,El Dorado,ICC,144,,MEMBERS
6/30/2020,FY1920,El Dorado,ICC,102742,,MINUTES
6/30/2020,FY1920,El Dorado,ICC,240908,,DOLLARS
6/30/2020,FY1920,El Dorado,IHBS,110,,MEMBERS
6/30/2020,FY1920,El Dorado,IHBS,147869,,MINUTES
6/30/2020,FY1920,El Dorado,IHBS,352060,,DOLLARS
6/30/2020,FY1920,El Dorado,MENTAL_HEALTH_SVCS,48,,MEMBERS
6/30/2020,FY1920,El Dorado,MENTAL_HEALTH_SVCS,51188,,MINUTES
6/30/2020,FY1920,El Dorado,MENTAL_HEALTH_SVCS,123461,,DOLLARS
6/30/2020,FY1920,Fresno,ALL,482,,MEMBERS
6/30/2020,FY1920,Fresno,ALL,2677737,,DOLLARS
6/30/2020,FY1920,Fresno,CASE_MANAGEMENT/BROKERAGE,323,,MEMBERS
6/30/2020,FY1920,Fresno,CASE_MANAGEMENT/BROKERAGE,302160,,MINUTES
6/30/2020,FY1920,Fresno,CASE_MANAGEMENT/BROKERAGE,678254,,DOLLARS
6/30/2020,FY1920,Fresno,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,Fresno,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Fresno,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Fresno,CRISIS_STABILIZATION,43,,MEMBERS
6/30/2020,FY1920,Fresno,CRISIS_STABILIZATION,1377,,HOURS
6/30/2020,FY1920,Fresno,CRISIS_STABILIZATION,159916,,DOLLARS
6/30/2020,FY1920,Fresno,ICC,123,,MEMBERS
6/30/2020,FY1920,Fresno,ICC,25245,,MINUTES
6/30/2020,FY1920,Fresno,ICC,56289,,DOLLARS
6/30/2020,FY1920,Fresno,IHBS,26,,MEMBERS
6/30/2020,FY1920,Fresno,IHBS,4460,,MINUTES
6/30/2020,FY1920,Fresno,IHBS,13273,,DOLLARS
6/30/2020,FY1920,Fresno,MEDICATION_SUPPORT_SVCS,229,,MEMBERS
6/30/2020,FY1920,Fresno,MEDICATION_SUPPORT_SVCS,34901,,MINUTES
6/30/2020,FY1920,Fresno,MEDICATION_SUPPORT_SVCS,197076,,DOLLARS
6/30/2020,FY1920,Fresno,MENTAL_HEALTH_SVCS,376,,MEMBERS
6/30/2020,FY1920,Fresno,MENTAL_HEALTH_SVCS,410355,,MINUTES
6/30/2020,FY1920,Fresno,MENTAL_HEALTH_SVCS,1173759,,DOLLARS
6/30/2020,FY1920,Fresno,PSYCHIATRIC_HEALTH_FACILITY,15,,MEMBERS
